[1],[2],Name,alternative Namen,Staat(en),Fläche [km²],Volu­men [km³],Tiefe [m],Tiefe [m],Anmerkungen / Fluss
62,N17,Siljan,,Schweden,293,809,134,278,Größter in einem Einschlagkrater
63,N18,Höytiäinen,,Finnland,283,319,59,113,
64,O18,Sredneje Kuito,"Среднее Куйто, Keski-Kuittijärvi",Russland,276,30,34,108,
65,S04,Prespasee,"Преспанското Езеро, Μεγάλη Πρέσπα, Liqeni i Prespës","Albanien, Griechenland, Nordmazedonien",273,,54,,
66,N19,Wirzsee,"Vertsjervs, Võrtsjärv",Estland,270,076,6,28,
67,O19,Sjamosero,"Сямозеро, Säämäjärvi, Seämärvi",Russland,266,179,245,67,
68,N20,Hornavan,,Schweden,262,1123,221,458,
69,,Stausee Akkajaure,,Schweden,260,59,92,23,Stora Luleälven
70,N21,Näsijärvi,,Finnland,255,348,61,137,
71,,Eisernes Tor,Đerdap,"Serbien, Rumänien",253,24,,95,Größter in Serbien; Donau
72,,Alqueva-Stausee,Barragem de Alqueva,Portugal,250,415,,166,Größter in Portugal; Guadiana
73,,Uglitscher Stausee,"Uglitschskoje Reservoir, У́гличское водохрани́лище",Russland,249,12,,48,Wolga
74,N22,Uddjaure,,Schweden,249,,,,
75,N23,Pyhäjärvi,Пюхяярви,"Finnland, Russland",248,20,27,8,In Karelien
76,N24,Yli-Kitka,,Finnland,237,156,42,66,
77,N25,Suvasvesi,,Finnland,234,243,90,104,Liegt in einem zweifachen Einschlagkrater
78,O20,Tikschosero,"Тикшозеро, Tiiksjärvi, Tiikšenjärvi",Russland,232,167,40,8,
79,N26,Kemijärvi,,Finnland,231,115,24,5,
80,,Pirengskoje-Stausee,Пиренгское водохранилище,Russland,227,30,,132,Pirenga
81,O21,Keret,"Кереть, Kierettijärvi",Russland,223,10,60,45,
82,N27,Juojärvi,,Finnland,220,197,51,9,
83,N28,Røssvatnet,Reevhtse,Norwegen,219,148,240,676,
84,W06,Neuenburgersee,Lac de Neuchâtel,Schweiz,218,1377,152,63,Größter innerhalb der Schweiz
85,S05,Lago Maggiore,Langensee,"Italien, Schweiz",213,37,372,174,
86,O22,Seligersee,Селигер,Russland,212,123,24,58,
87,O23,Njuk,"Нюк, Nuokkijärvi",Russland,211,181,40,86,
88,N29,Femundsee,,Norwegen,204,604,231,296,
89,O24,Lowosero,"Ловозеро, Луяввьр, Luujäuˊrr, Lujávri, Luujärvi",Russland,200,114,35,57,
