Nr.,Bild,Gipfel,Höhe[3]  (m),Gebirgsgruppe,Land,Dominanz[4]  (km),Schartenhöhe[3][4]  (m),Erstbesteigung[5]
62,,Ober Gabelhorn,4063,Walliser Alpen  Weisshorngruppe,Schweiz,"3,1  Zinalrothorn",536  Triftjoch,"6. Juli 1865  Horace Walker, Adolphus W. Moore, Jakob Anderegg"
63,,Gran Paradiso,4061,Grajische Alpen,Italien,"45,1  Grandes Jorasses",1888  Nahe Kleiner Sankt Bernhard,"4. Sep. 1860  John J. Cowell, W. Dundas, Jean Tairraz, Michel-Clément Payot"
64,,Aiguille de Bionnassay,4052,Mont-Blanc-Gruppe,Frankreich /  Italien,"1,8  Dôme du Goûter",164  Col de Bionnassay,"28. Juli 1865  E. N. Buxton, F. C. Grove, R. J. S. Macdonald, Michel Payot, Jean-Pierre Cachat"
65,,Gross Fiescherhorn,4049,Berner Alpen,Schweiz,"4,7  Mönch",396  Fieschergrat,"23. Juli 1862  Adolphus W. Moore, H. B. George, Ulrich Kaufmann, Christian Almer"
66,,Piz Bernina,4048,Berninagruppe,Schweiz,138  Finsteraarhorn,2236  Malojapass,"13. Sep. 1850  Johann Coaz, Jon und Lorenz Ragut Tscharner"
67,,Punta Giordani  (Giordanispétz),4046,Walliser Alpen  Monte-Rosa-Massiv,Italien,"0,1  Vincent-Pyramide",5  Einschartung zur Vincent-Pyramide,5. Aug. 1819  Nicola Vincent
68,,Grandes Jorasses  (Pointe Hélène),4045,Mont-Blanc-Gruppe,Frankreich /  Italien,"0,2  Pointe Marguerite",10[8]  Einschartung zur Pointe Marguerite,
69,,Gross Grünhorn,4043,Berner Alpen,Schweiz,"2,5  Gross Fiescherhorn",303  Kleine Grünhornlücke,"7. Aug. 1865  Edmund von Fellenberg, Peter Michel, Peter Egger, Peter Inäbnit"
70,,Lauteraarhorn,4042,Berner Alpen,Schweiz,"1,0  Schreckhorn",128  Schreckhornsattel,"7. Aug. 1865  Pierre Desor, Arnold Escher von der Linth, Christian Girard, Melchior Bannholzer, Jakob Leuthold"
71,,Dürrenhorn,4035,Walliser Alpen  Mischabelgruppe,Schweiz,"0,8  Hohberghorn",124  Dürrenjoch,"7. Sep. 1879  Albert Mummery, William Penhall, Alexander Burgener, Ferdinand Imseng"
71,,Aiguille du Jardin,4035,Mont-Blanc-Gruppe,Frankreich,"0,2  Grande Rocheuse",37  Einschartung zur Rocheuse,"1. Aug. 1904  E. Fontaine, Jean Ravanel, Léon Tournier"
73,,Allalinhorn,4027,Walliser Alpen  Allalingruppe,Schweiz,"2,1  Rimpfischhorn",257  Alphubeljoch,"28. Aug. 1856  Edward L. Ames, n.n. Imseng, Franz Josef Andenmatten"
74,,Hinter Fiescherhorn,4025,Berner Alpen,Schweiz,"0,7  Gross Fiescherhorn",102  Fieschersattel,"28. Juli 1885  Eugen Guido Lammer, August Lorria"
75,,Dôme de Rochefort,4015,Mont-Blanc-Gruppe,Frankreich /  Italien,"0,9  Pointe Marguerite",206[6]  Col des Grandes Jorasses,"12. Aug. 1881  Alphonse Payot, Michel-Clément Payot, J. Eccles"
75,,Barre des Écrins  (Dôme de Neige),4015,Pelvoux,Frankreich,"0,2  Barre des Écrins",41  Brèche Lory,"25. Juni 1864 Adolphus Warburton Moore, Horace Walker, Edward Whymper, Führern Christian Almer, Michel Croz"
77,,Weissmies,4013,Walliser Alpen  Weissmiesgruppe,Schweiz,"11,2  Lenzspitze",1183  Mondellipass,"1855  Jakob Christian Häusser, Peter Josef Zurbriggen"
77,,Dent du Géant,4013,Mont-Blanc-Gruppe,Frankreich /  Italien,"1,2  Dôme de Rochefort",139  Einschartung zur Aiguille de Rochefort,29. Juli 1882  Alessandro Corradino und 5 Begleiter
77,,Punta Baretti,4013,Mont-Blanc-Gruppe,Italien,"0,3  Mont Brouillard",56  Einschartung zum Mont Brouillard,"28. Juli 1880  Martino Baretti, Jean-Joseph Maquignaz"
80,,Lagginhorn,4010,Walliser Alpen  Weissmiesgruppe,Schweiz,"3,3  Weissmies",512  Lagginjoch,"26. Juli 1856  Edward L. Ames, Johann Josef Imseng, Franz-Josef Andenmatten"
81,,Aiguille de Rochefort,4001,Mont-Blanc-Gruppe,Frankreich /  Italien,"0,6  Dent du Géant",106  Einschartung zum Dôme de Rochefort,"14. Aug. 1873  Alphonse Payot, Michel-Clément Payot, J. Eccles"
82,,Les Droites,4000,Mont-Blanc-Gruppe,Frankreich,"1,0  Aiguille du Jardin",204  Col de l’ Aiguille Verte,"7. Aug. 1856  Thomas Middlemore, John Oakley, Henri Cordier, Johann Jaun, Andreas Maurer"
