Continente,Continente.1,Vetta,Foto,Altezza,Catena,Stato,Autore prima ascensione,Data prima ascensione
Africa,Africa,Kilimangiaro,,5.895 m,Il Kilimangiaro è un monte che si erge isolato nella pianura e non fa parte di una catena montuosa,Tanzania,"Ludwig Purtscheller, Hans Meyer",6 ottobre 1889
America,America settentrionale,Denali,,6.190 m,Catena dell'Alaska,Alaska (Stati Uniti d'America),"Hudson Stuck, H.Karstens, W. Harper, R. Tatum",7 giugno 1913
America,America meridionale,Aconcagua,,6.962 m,Ande,Argentina,Matthias Zurbriggen,14 gennaio 1897
Antartide,Antartide,Monte Vinson,,4.892 m,Sentinella (Monti Ellsworth),L'Antartide è un continente non suddiviso in stati.,Nicholas B. Clinch[18],17 dicembre 1966
Asia,Asia,Everest,,8.848 m,Himalaya,"Tibet (Cina), Nepal","Edmund Hillary, Tenzing Norgay",29 maggio 1953
Europa,Europa,Monte Bianco,,4.810 m,Alpi,"Italia, Francia","Jacques Balmat, Michel Gabriel Paccard",8 agosto 1786
Europa,Europa,Elbrus,,5.642 m,Catena del Caucaso,Russia,cima est Khilar Khachirov cima ovest Florence Crauford Grove,cima est 22 luglio 1829 cima ovest 1874
Oceania,Oceania,Puncak Jaya,,4.884 m,Sudirman,Indonesia,"Heinrich Harrer, Philip Temple, Russel Kippax e Albert Huizenga",13 febbraio 1962
Oceania,Oceania,Monte Kosciuszko,,2.228 m,Grande Catena Divisoria,Australia,Paweł Edmund Strzelecki,15 febbraio 1840
