Datum,Ort,Land,Opfer,Bemerkungen,T,M,Q
811,St Andrews,Schottland,1.400,,,,2
23. Nov. 823,Ferganatal,Usbekistan,15.000,,,,2
20. Aug. 843,Nisa,Turkmenistan,5.000,,,,2
844–847,"Damaskus, Mosul","Islamisches Kalifat, Provinzen Syrien und Irak",50.000–70.000,Verschiedene Angaben für Erdbeben im Gebiet von Damaskus und Mosul,,,2
15. Juli 850,Rey,"Islamisches Kalifat, Provinz Persien, heute Iran",45.000,,,,2
851,Dvin,Armenien,12.000,,10.0,52.0,2
22. Dez. 856,Damghan und Qumis,"Islamisches Kalifat, Provinz Qumis, heute Iran",200.000(?)[3],"Erdbeben von Qumis 856. Für diesen Monat sind Erdbeben aus Tunesien, Syrien, Ägypten, Jemen, Iran und Griechenland mit jeweils mehreren 10.000 Toten angegeben.",,65.0,1/2
9. Juli 869,vor der Sanriku-Küste,"Provinz Mutsu, Japan",1.000,Jōgan-Sanriku-Erdbeben 869. Tsunami entlang Ostküste von Tōhoku.,,86.0,2
18. Nov. 871,Wasit,"Islamisches Kalifat, Provinzen Irak und Persien, heute Iran/Irak",20.000,,,,2
23. Nov. 893,Ardabil,"Islamisches Kalifat, Provinz Persien, heute Iran",150.000–180.000,"Für 893 sind für das Islamische Kalifat, Provinz Persien (heute Iran), Armenien und die Region des Kaukasus mehrere Erdbeben mit vielen 10.000 Toten angegeben",,,1/2
