Datum,Ort,Land,Opfer,Bemerkungen,T,M,Q
1444,Nemrut Dağı,"Osmanisches Reich, heute Türkei",30.000,,,,2.0
5. Dez. 1456,Neapel,Italien,30.000–40.000,,,,
1457,"Palästina, Syrien heute Israel/Syrien",,30.000,,,,2.0
1458,"Erzincan, Erzurum","Osmanisches Reich, heute Türkei",32.000,,,75.0,2.0
1481,Dodekanes,Griechenland,30.000,,,71.0,2.0
1499,Yunnan,China,10.000,,,,2.0
