Datum,Ort,Land,Opfer,Bemerkungen,T,M,Q
17. Sep. 1007,Bagdad,"Islamisches Kalifat, Provinz Irak",10.000–100.000,Für 1007/1008 sind fünf Erdbeben mit hohen Opferzahlen verzeichnet,,,2
10. Dez. 1033,"Ramallah, Gaza, Nablus","Islamisches Kalifat, Provinz Palästina",70.000,,,,2
15. Jan. 1038,Taiyuan in Shanxi,China,23.000,Schwere Zerstörungen im Umkreis von Taiyuan.,,,[4][5][6]
4. Nov. 1042,Täbris,"Islamisches Kalifat, Provinz Persien, heute Iran",50.000,,15.0,76.0,2
1057,Zhili und Peking,China,25.000,,,68.0,2
20. Apr. 1067,"Eilat, Ramla, Damaskus","Islamisches Kalifat; Provinzen Palästina (heute Israel/Palästinensische Autonomiegebiete), Ägypten, Syrien",25.000,,,65.0,2
