中文名,英文名,坐标,长度(公里)[note 1],命名来源
安大略湖,Ontario Lacus,72°00′S 183°00′W﻿ / ﻿72.0°S 183.0°W,235.0,位于加拿大和美国的边界安大略湖
费瓦湖,Phewa Lacus,72°12′N 124°00′W﻿ / ﻿72.2°N 124°W,12.0,尼泊尔费瓦湖
普雷斯帕湖,Prespa Lacus,73°06′N 135°42′W﻿ / ﻿73.1°N 135.7°W,43.7,位于北马其顿、阿尔巴尼亚和希腊三边交界的普雷斯帕湖
青海湖,Qinghai Lacus,83°24′N 51°30′W﻿ / ﻿83.4°N 51.5°W,44.3,中国青海湖
基洛托阿,Quilotoa Lacus,80°18′N 120°06′W﻿ / ﻿80.3°N 120.1°W,11.8,厄瓜多尔基洛托阿火山湖
兰诺赫湖,Rannoch Lacus,74°12′N 129°18′W﻿ / ﻿74.2°N 129.3°W,63.5,苏格兰兰诺赫湖
罗卡湖,Roca Lacus,79°48′N 123°30′W﻿ / ﻿79.8°N 123.5°W,46.0,智利拉斯罗卡湖
鲁夸湖,Rukwa Lacus,74°48′N 134°48′W﻿ / ﻿74.8°N 134.8°W,36.0,坦桑尼亚鲁夸湖
鲁韦古拉湖,Rwegura Lacus,71°30′N 105°12′W﻿ / ﻿71.5°N 105.2°W,21.7,布隆迪鲁韦古拉大坝
塞凡湖,Sevan Lacus,69°42′N 225°36′W﻿ / ﻿69.7°N 225.6°W,46.9,亚美尼亚塞凡湖
精进湖,Shoji Lacus,79°42′S 166°24′W﻿ / ﻿79.7°S 166.4°W,5.8,日本精进湖
辛纳赛格湖,Sionascaig Lacus,41°31′S 278°07′W﻿ / ﻿41.52°S 278.12°W,143.2,苏格兰辛纳赛格湖
索托内拉湖,Sotonera Lacus,76°45′N 17°29′W﻿ / ﻿76.75°N 17.49°W,63.0,西班牙索托内拉湖
麻雀湖,Sparrow Lacus,84°18′N 64°42′W﻿ / ﻿84.3°N 64.7°W,81.4,加拿大麻雀湖
诹访湖,Suwa Lacus,74°06′N 135°12′W﻿ / ﻿74.1°N 135.2°W,12.0,日本诹访湖
库尼贡达湖,Synevyr Lacus,81°00′N 53°36′W﻿ / ﻿81°N 53.6°W,36.0,乌克兰库尼贡达湖
陶波湖,Taupo Lacus,72°42′N 132°36′W﻿ / ﻿72.7°N 132.6°W,27.0,新西兰陶波湖
田吉兹湖,Tengiz Lacus,73°12′N 105°36′W﻿ / ﻿73.2°N 105.6°W,70.0,哈萨克斯坦田吉兹湖
多巴湖,Toba Lacus,70°54′N 108°06′W﻿ / ﻿70.9°N 108.1°W,23.6,印度尼西亚多巴湖
十和田湖,Towada Lacus,71°24′N 244°12′W﻿ / ﻿71.4°N 244.2°W,24.0,日本十和田湖
特里霍尼扎湖,Trichonida Lacus,81°18′N 65°18′W﻿ / ﻿81.3°N 65.3°W,31.5,希腊特里霍尼扎湖
长谷湖,Tsomgo Lacus,86°24′S 162°24′W﻿ / ﻿86.4°S 162.4°W,59.0,印度长谷湖
尔米亚湖,Urmia Lacu,39°16′S 276°33′W﻿ / ﻿39.27°S 276.55°W,28.6,伊朗尔米亚湖
乌布苏湖,Uvs Lacus,69°36′N 245°42′W﻿ / ﻿69.6°N 245.7°W,26.9,蒙古乌布苏湖
维纳恩湖,Vänern Lacus,70°24′N 223°06′W﻿ / ﻿70.4°N 223.1°W,43.9,瑞典维纳恩湖
凡湖,Van Lacus,74°12′N 137°18′W﻿ / ﻿74.2°N 137.3°W,32.7,土耳其凡湖
别德马湖,Viedma Lacus,72°00′N 125°42′W﻿ / ﻿72°N 125.7°W,42.0,阿根廷别德马湖
怀卡雷湖,Waikare Lacus,81°36′N 126°00′W﻿ / ﻿81.6°N 126.0°W,52.5,新西兰怀卡雷湖
维加湖,Weija Lacus,68°46′N 327°41′W﻿ / ﻿68.77°N 327.68°W,12.0,加纳维加大坝
温尼伯湖,Winnipeg Lacus,78°03′N 153°19′W﻿ / ﻿78.05°N 153.31°W,60.0,加拿大温尼伯湖
索洛特兰湖,Xolotlán Lacus,82°18′N 72°54′W﻿ / ﻿82.3°N 72.9°W,57.4,尼加拉瓜索洛特兰湖
耶谢伊湖,Yessey Lacus,73°00′N 110°48′W﻿ / ﻿73°N 110.8°W,24.5,俄罗斯西伯利亚耶谢伊湖
约华湖,Yojoa Lacus,78°06′N 54°06′W﻿ / ﻿78.1°N 54.1°W,58.3,洪都拉斯约华湖
伊波阿湖,Ypoa Lacus,73°24′N 132°12′W﻿ / ﻿73.4°N 132.2°W,39.2,巴拉圭伊波阿湖
萨萨湖,Zaza Lacus,72°24′N 106°54′W﻿ / ﻿72.4°N 106.9°W,29.0,古巴萨萨水库
祖布湖,Zub Lacus,71°42′N 102°36′W﻿ / ﻿71.7°N 102.6°W,19.5,南极洲祖布湖
