0,1
海洋,克拉肯海 丽姬亚海 蓬加海
湖泊,阿拜亚湖 阿尔巴诺湖 博尔塞纳湖 费亚湖 哈马尔湖 基伍湖 科伊泰雷湖 拉多加湖 麦凯湖 慕格湖 内湖 鏡泊湖 安大略湖 辛纳赛格湖 索托内拉湖
河流,维德浚道
干湖,艾尔干湖 卡奇干湖 纳库鲁干湖 恩加米干湖 沃伊丘加干湖
