,et,de,zh,it,nl,en
et,1.0,0.6545329093933105,0.5333287715911865,0.469723641872406,0.7461215257644653,0.3058616816997528
de,0.6545329093933105,1.0000003576278687,0.7234807014465332,0.6756154298782349,0.8305343985557556,0.5359594821929932
zh,0.5333287715911865,0.7234807014465332,1.0,0.7392641305923462,0.6101648211479187,0.6930628418922424
it,0.469723641872406,0.6756154298782349,0.7392641305923462,0.9999998807907104,0.5591813325881958,0.7352937459945679
nl,0.7461215257644653,0.8305343985557556,0.6101648211479187,0.5591813325881958,1.0,0.40059947967529297
en,0.3058616816997528,0.5359594821929932,0.6930628418922424,0.7352937459945679,0.40059947967529297,0.9999999403953552
