,et,de,zh,it,nl,en
et,0.9999998211860657,0.7982474565505981,0.6308220624923706,0.6850464940071106,0.9611831903457642,0.48850351572036743
de,0.7982474565505981,0.9999999403953552,0.7980028390884399,0.8274310827255249,0.8695619702339172,0.7220335006713867
zh,0.6308220624923706,0.7980028390884399,1.0,0.8256822824478149,0.6948349475860596,0.701196551322937
it,0.6850464940071106,0.8274310827255249,0.8256822824478149,1.000000238418579,0.7196004390716553,0.756496012210846
nl,0.9611831903457642,0.8695619702339172,0.6948349475860596,0.7196004390716553,0.9999999403953552,0.5620824098587036
en,0.48850351572036743,0.7220335006713867,0.701196551322937,0.756496012210846,0.5620824098587036,0.9999999403953552
