,et,de,zh,it,nl,en
et,0.9999999403953552,0.8463255763053894,0.6400269269943237,0.6537250280380249,0.9505198001861572,0.4694245159626007
de,0.8463255763053894,0.9999997019767761,0.7644736766815186,0.7768096923828125,0.9145724773406982,0.6944105625152588
zh,0.6400269269943237,0.7644736766815186,1.0,0.8080428838729858,0.672317385673523,0.7868605852127075
it,0.6537250280380249,0.7768096923828125,0.8080428838729858,1.0,0.6752400398254395,0.7565114498138428
nl,0.9505198001861572,0.9145724773406982,0.672317385673523,0.6752400398254395,1.0000001192092896,0.5401729345321655
en,0.4694245159626007,0.6944105625152588,0.7868605852127075,0.7565114498138428,0.5401729345321655,1.000000238418579
