0,1
Magazines and journals,Alpine Journal Alpinist American Alpine Journal Canadian Alpine Journal Climbing Desnivel Himalayan Journal Planinski Vestnik Rock & Ice Summit
Non-fiction films,The Alpinist El Capitan The Dawn Wall Free Solo Hard Grit
