0,1
Rock,Aider Daisy chain Anchor Ascender Croll Belay device Auto belay Assisted braking device Grigri Glasses Gloves Bolt Boulder mat Carabiner Maillon Climbing rope Cord Dynamic Static Chalk Descenders Figure-8 Harness Hooks Fifi Skyhook Hammer Hex Lanyard PAC Nut Copperhead Piton Portaledge Quickdraw SLDs Revo Sling SLCDs Camalot Shoes Tricam
Ice and snow,Alpenstock Abalakov thread Bottled oxygen Crampons Ice axe Ice tool Ice screw Mountaineering boot Rescue Avalanche cord RECCO Transeiver Snow anchor Snowshoe
