0,1
Equipment,Rock Aider Daisy chain Anchor Ascender Croll Belay device Auto belay Assisted braking device Grigri Glasses Gloves Bolt Boulder mat Carabiner Maillon Climbing rope Cord Dynamic Static Chalk Descenders Figure-8 Harness Hooks Fifi Skyhook Hammer Hex Lanyard PAC Nut Copperhead Piton Portaledge Quickdraw SLDs Revo Sling SLCDs Camalot Shoes Tricam Ice and snow Alpenstock Abalakov thread Bottled oxygen Crampons Ice axe Ice tool Ice screw Mountaineering boot Rescue Avalanche cord RECCO Transeiver Snow anchor Snowshoe
Rock,Aider Daisy chain Anchor Ascender Croll Belay device Auto belay Assisted braking device Grigri Glasses Gloves Bolt Boulder mat Carabiner Maillon Climbing rope Cord Dynamic Static Chalk Descenders Figure-8 Harness Hooks Fifi Skyhook Hammer Hex Lanyard PAC Nut Copperhead Piton Portaledge Quickdraw SLDs Revo Sling SLCDs Camalot Shoes Tricam
Ice and snow,Alpenstock Abalakov thread Bottled oxygen Crampons Ice axe Ice tool Ice screw Mountaineering boot Rescue Avalanche cord RECCO Transeiver Snow anchor Snowshoe
Action,Abseiling Australian Dülfersitz Belaying Front pointing Glissading Jumaring Leading Flashing Onsighting Redpointing Rescue Crevasse Self Self-arrest Simul-climbing Rope team Spotting Traversing Tyrolean
Other,Ape index Approach shoe Clean Climbing route Beta Guidebook Chipping First ascent Pitch Topo Exposure Fall factor Grades Guides Training Bachar ladder Campus board Hangboard MoonBoard
