Name,Coordinates,Length (km)[note 1],Approval Date,Source of name,Ref
Neagh Lacus,81°07′N 32°10′W﻿ / ﻿81.11°N 32.16°W,98.0,27 September 2007,"Lough Neagh, Northern Ireland",WGPSN
Negra Lacus,75°30′N 128°54′W﻿ / ﻿75.5°N 128.9°W,15.3,6 June 2017,"Lake Negra, Uruguay",WGPSN
Ohrid Lacus,71°48′N 221°54′W﻿ / ﻿71.8°N 221.9°W,17.3,16 September 2010,"Lake Ohrid, on the border of North Macedonia and Albania",WGPSN
Olomega Lacus,78°42′N 122°12′W﻿ / ﻿78.7°N 122.2°W,15.7,26 June 2017,"Lake Olomega, El Salvador",WGPSN
Oneida Lacus,76°08′N 131°50′W﻿ / ﻿76.14°N 131.83°W,51.0,27 September 2007,"Oneida Lake, United States",WGPSN
Ontario Lacus,72°00′S 183°00′W﻿ / ﻿72.0°S 183.0°W,235.0,2006,"Lake Ontario, on the border between Canada and the United States.",WGPSN
Phewa Lacus,72°12′N 124°00′W﻿ / ﻿72.2°N 124°W,12.0,6 June 2017,"Phewa Lake, Nepal",WGPSN
Pielinen Lacus,71°20′N 179°40′W﻿ / ﻿71.34°N 179.66°W,88.0,13 April 2022,Lake in Finland,WGPSN
Prespa Lacus,73°06′N 135°42′W﻿ / ﻿73.1°N 135.7°W,43.7,6 June 2017,"Lake Prespa, on tripoint of North Macedonia, Albania and Greece",WGPSN
Qinghai Lacus,83°24′N 51°30′W﻿ / ﻿83.4°N 51.5°W,44.3,7 August 2017,"Qinghai Lake, China",WGPSN
Quilotoa Lacus,80°18′N 120°06′W﻿ / ﻿80.3°N 120.1°W,11.8,26 June 2017,"Quilotoa, Ecuador",WGPSN
Rannoch Lacus,74°12′N 129°18′W﻿ / ﻿74.2°N 129.3°W,63.5,6 June 2017,"Loch Rannoch, Scotland",WGPSN
Roca Lacus,79°48′N 123°30′W﻿ / ﻿79.8°N 123.5°W,46.0,26 June 2017,"Las Rocas Lake, Chile",WGPSN
Rukwa Lacus,74°48′N 134°48′W﻿ / ﻿74.8°N 134.8°W,36.0,6 June 2017,"Lake Rukwa, Tanzania",WGPSN
Rwegura Lacus,71°30′N 105°12′W﻿ / ﻿71.5°N 105.2°W,21.7,26 June 2017,"Rwegura Dam, Burundi",WGPSN
Sarygamysh Lacus,84°38′N 103°55′W﻿ / ﻿84.64°N 103.92°W,19.0,13 April 2022,Lake in Turkmenistan and Uzbekistan,WGPSN
Sevan Lacus,69°42′N 225°36′W﻿ / ﻿69.7°N 225.6°W,46.9,16 September 2010,"Lake Sevan, Armenia",WGPSN
Shoji Lacus,79°42′S 166°24′W﻿ / ﻿79.7°S 166.4°W,5.8,27 December 2015,"Lake Shoji, Japan",WGPSN
Sionascaig Lacus,41°31′S 278°07′W﻿ / ﻿41.52°S 278.12°W,143.2,12 March 2013,"Loch Sionascaig, Scotland",WGPSN
Sotonera Lacus,76°45′N 17°29′W﻿ / ﻿76.75°N 17.49°W,63.0,27 September 2007,"Lake Sotonera, Spain",WGPSN
Sparrow Lacus,84°18′N 64°42′W﻿ / ﻿84.3°N 64.7°W,81.4,27 September 2007,"Sparrow Lake, Canada",WGPSN
Suwa Lacus,74°06′N 135°12′W﻿ / ﻿74.1°N 135.2°W,12.0,6 June 2017,"Lake Suwa, Japan",WGPSN
Synevyr Lacus,81°00′N 53°36′W﻿ / ﻿81°N 53.6°W,36.0,7 August 2017,"Lake Synevyr, Ukraine",WGPSN
Taupo Lacus,72°42′N 132°36′W﻿ / ﻿72.7°N 132.6°W,27.0,6 June 2017,"Lake Taupō, New Zealand",WGPSN
Tengiz Lacus,73°12′N 105°36′W﻿ / ﻿73.2°N 105.6°W,70.0,26 June 2017,"Lake Tengiz, Kazakhstan",WGPSN
Toba Lacus,70°54′N 108°06′W﻿ / ﻿70.9°N 108.1°W,23.6,26 June 2017,"Lake Toba, Indonesia",WGPSN
Totak Lacus,74°02′N 225°59′W﻿ / ﻿74.03°N 225.99°W,20.0,14 April 2022,Lake in Norway,WGPSN
Towada Lacus,71°24′N 244°12′W﻿ / ﻿71.4°N 244.2°W,24.0,7 April 2011,"Lake Towada, Japan",WGPSN
Trichonida Lacus,81°18′N 65°18′W﻿ / ﻿81.3°N 65.3°W,31.5,7 August 2017,"Lake Trichonida, Greece",WGPSN
Tsomgo Lacus,86°24′S 162°24′W﻿ / ﻿86.4°S 162.4°W,59.0,27 December 2015,"Lake Tsomgo, India",WGPSN
Urmia Lacus,39°16′S 276°33′W﻿ / ﻿39.27°S 276.55°W,28.6,12 March 2013,"Lake Urmia, Iran",WGPSN
