0,1
Seas,Kraken Mare Ligeia Mare Punga Mare
Lakes,Abaya Lacus Bolsena Lacus Feia Lacus Hammar Lacus Jingpo Lacus Kivu Lacus Koitere Lacus Ladoga Lacus Mackay Lacus Müggel Lacus Neagh Lacus Ontario Lacus Sionascaig Lacus Sotonera Lacus Albano Lacus
Rivers,Elivagar Flumina Vid Flumina
Dry lakes,Eyre Lacuna Ngami Lacuna Woytchugga Lacuna
